Game Date,Away Team,Home Team,Away_NRFI_Batting_Rate,Home_NRFI_Pitching_Rate,Predicted_NRFI_Probability,Away 1th,Home 1th,Actual_1st_Inning_Runs,Prediction_Result
2025-04-26,Chicago White Sox,Athletics,62.96,62.96,39.64,4.0,0.0,4.0,❌ MISS
2025-04-26,Philadelphia Phillies,Chicago Cubs,66.67,76.92,51.28,0.0,0.0,0.0,✅ HIT
2025-04-26,Boston Red Sox,Cleveland Guardians,66.67,65.38,43.59,3.0,4.0,7.0,❌ MISS
2025-04-26,Cincinnati Reds,Colorado Rockies,70.37,64.29,45.24,0.0,0.0,0.0,✅ HIT
2025-04-26,Baltimore Orioles,Detroit Tigers,62.96,77.78,48.97,0.0,0.0,0.0,✅ HIT
2025-04-26,Los Angeles Angels,Minnesota Twins,69.23,59.26,41.03,0.0,3.0,3.0,❌ MISS
2025-04-26,Toronto Blue Jays,New York Yankees,75.0,81.48,61.11,,,0.0,✅ HIT
2025-04-26,Texas Rangers,San Francisco Giants,70.37,64.29,45.24,1.0,0.0,1.0,❌ MISS
2025-04-26,Milwaukee Brewers,St. Louis Cardinals,82.14,71.43,58.67,0.0,0.0,0.0,✅ HIT
2025-04-26,New York Mets,Washington Nationals,74.07,78.57,58.2,0.0,0.0,0.0,✅ HIT
