Game Date,Away Team,Home Team,Predicted_NRFI_Probability,Away_NRFI_Batting_Rate,Home_NRFI_Pitching_Rate,NRFI_Hit
2025-03-27,Chicago Cubs,Arizona Diamondbacks,47.62,74.07,64.29,0
2025-03-27,Los Angeles Angels,Chicago White Sox,45.24,70.37,64.29,1
2025-03-27,San Francisco Giants,Cincinnati Reds,59.6,75.86,78.57,0
2025-03-27,New York Mets,Houston Astros,55.55,75.0,74.07,1
2025-03-27,Cleveland Guardians,Kansas City Royals,66.67,71.43,93.33,1
2025-03-27,Detroit Tigers,Los Angeles Dodgers,45.09,68.97,65.38,1
2025-03-27,Pittsburgh Pirates,Miami Marlins,56.9,75.86,75.0,1
2025-03-27,Milwaukee Brewers,New York Yankees,68.49,82.76,82.76,0
2025-03-27,Atlanta Braves,San Diego Padres,53.57,71.43,75.0,0
2025-03-27,Athletics,Seattle Mariners,50.9,75.0,67.86,1
2025-03-27,Minnesota Twins,St. Louis Cardinals,51.72,71.43,72.41,0
2025-03-27,Boston Red Sox,Texas Rangers,51.56,65.62,78.57,1
2025-03-27,Baltimore Orioles,Toronto Blue Jays,43.68,65.52,66.67,0
2025-03-27,Philadelphia Phillies,Washington Nationals,53.82,67.86,79.31,1
2025-03-28,Chicago Cubs,Arizona Diamondbacks,47.62,74.07,64.29,1
2025-03-28,New York Mets,Houston Astros,55.55,75.0,74.07,1
2025-03-28,Detroit Tigers,Los Angeles Dodgers,45.09,68.97,65.38,1
2025-03-28,Pittsburgh Pirates,Miami Marlins,56.9,75.86,75.0,1
2025-03-28,Atlanta Braves,San Diego Padres,53.57,71.43,75.0,0
2025-03-28,Athletics,Seattle Mariners,50.9,75.0,67.86,1
2025-03-28,Colorado Rockies,Tampa Bay Rays,56.16,82.76,67.86,1
2025-03-28,Boston Red Sox,Texas Rangers,51.56,65.62,78.57,1
2025-03-28,Baltimore Orioles,Toronto Blue Jays,43.68,65.52,66.67,1
2025-03-29,Chicago Cubs,Arizona Diamondbacks,47.62,74.07,64.29,1
2025-03-29,Los Angeles Angels,Chicago White Sox,45.24,70.37,64.29,1
2025-03-29,San Francisco Giants,Cincinnati Reds,59.6,75.86,78.57,1
2025-03-29,New York Mets,Houston Astros,55.55,75.0,74.07,1
2025-03-29,Cleveland Guardians,Kansas City Royals,66.67,71.43,93.33,1
2025-03-29,Detroit Tigers,Los Angeles Dodgers,45.09,68.97,65.38,0
2025-03-29,Pittsburgh Pirates,Miami Marlins,56.9,75.86,75.0,0
2025-03-29,Milwaukee Brewers,New York Yankees,68.49,82.76,82.76,0
2025-03-29,Atlanta Braves,San Diego Padres,53.57,71.43,75.0,1
2025-03-29,Athletics,Seattle Mariners,50.9,75.0,67.86,1
2025-03-29,Minnesota Twins,St. Louis Cardinals,51.72,71.43,72.41,0
2025-03-29,Colorado Rockies,Tampa Bay Rays,56.16,82.76,67.86,1
2025-03-29,Boston Red Sox,Texas Rangers,51.56,65.62,78.57,0
2025-03-29,Baltimore Orioles,Toronto Blue Jays,43.68,65.52,66.67,0
2025-03-29,Philadelphia Phillies,Washington Nationals,53.82,67.86,79.31,1
2025-03-30,Chicago Cubs,Arizona Diamondbacks,47.62,74.07,64.29,1
2025-03-30,Los Angeles Angels,Chicago White Sox,45.24,70.37,64.29,0
2025-03-30,San Francisco Giants,Cincinnati Reds,59.6,75.86,78.57,1
2025-03-30,Cleveland Guardians,Kansas City Royals,66.67,71.43,93.33,1
2025-03-30,Pittsburgh Pirates,Miami Marlins,56.9,75.86,75.0,1
2025-03-30,Milwaukee Brewers,New York Yankees,68.49,82.76,82.76,0
2025-03-30,Atlanta Braves,San Diego Padres,53.57,71.43,75.0,0
2025-03-30,Athletics,Seattle Mariners,50.9,75.0,67.86,1
2025-03-30,Minnesota Twins,St. Louis Cardinals,51.72,71.43,72.41,0
