,"Sat 4/26","Sun 4/27","Mon 4/28","Tue 4/29","Wed 4/30","Thu 5/1","Fri 5/2"
ARI,"M. Kelly (R)","B. Pfaadt (R)","OFF DAY","E. Rodriguez (L)","C. Burnes (R)","Z. Gallen (R)","M. Kelly (R)"
game,"Sat 8:10pm vs ATL","Sun 4:10pm vs ATL",,"Tue 7:10pm @ NYM","Wed 7:10pm @ NYM","Thu 1:10pm @ NYM","Fri 6:45pm @ PHI"
stats,"3-1 4.73 ERA","4-1 2.73 ERA",,"1-2 4.40 ERA","0-1 4.05 ERA","1-4 5.57 ERA","3-1 4.73 ERA"
oppBat,".238 1.3 HR 9.0 K",".238 1.3 HR 9.0 K",,".234 0.9 HR 7.5 K",".234 0.9 HR 7.5 K",".234 0.9 HR 7.5 K",".248 0.8 HR 8.4 K"
oppPitch,"G. Holmes R","S. Schwellenbach R",,"D. Peterson L","K. Senga R","C. Holmes R","J. Luzardo L"

ATH,"J. Springs (L)","O. Bido (R)","J. Sears (L)","H. Harris (L)","L. Severino (R)","J. Springs (L)","O. Bido (R)"
game,"Sat 4:05pm vs CWS","Sun 4:05pm vs CWS","Mon 8:05pm @ TEX","Tue 8:05pm @ TEX","Wed 8:05pm @ TEX","Thu 2:35pm @ TEX","Fri 7:10pm @ MIA"
stats,"3-2 5.64 ERA","2-2 4.85 ERA","3-2 3.21 ERA","0-0 0.00 ERA","1-3 3.49 ERA","3-2 5.64 ERA","2-2 4.85 ERA"
oppBat,".205 0.8 HR 8.7 K",".205 0.8 HR 8.7 K",".222 1.2 HR 7.8 K",".222 1.2 HR 7.8 K",".222 1.2 HR 7.8 K",".222 1.2 HR 7.8 K",".260 0.8 HR 9.2 K"
oppPitch,"J. Cannon R","D. Martin R","P. Corbin L","J. deGrom R","N. Eovaldi R","T. Mahle R","C. Gillispie R"

ATL,"G. Holmes (R)","S. Schwellenbach (R)","A. Smith-Shawver (R)","B. Elder (R)","C. Sale (L)","OFF DAY","G. Holmes (R)"
game,"Sat 8:10pm @ ARI","Sun 4:10pm @ ARI","Mon 8:40pm @ COL","Tue 8:40pm @ COL","Wed 3:10pm @ COL",,"Fri 7:15pm vs LAD"
stats,"2-1 3.22 ERA","1-1 2.56 ERA","0-2 4.61 ERA","0-1 5.57 ERA","1-2 5.40 ERA",,"2-1 3.22 ERA"
oppBat,".245 1.3 HR 7.4 K",".245 1.3 HR 7.4 K",".216 0.8 HR 10.6 K",".216 0.8 HR 10.6 K",".216 0.8 HR 10.6 K",,".230 1.6 HR 8.5 K"
oppPitch,"M. Kelly R","B. Pfaadt R","T. Gordon R","G. Marquez R","C. Dollander R",,"Y. Yamamoto R"

BAL,"B. Young (R)","D. Kremer (R)","T. Sugano (R)","C. Povich (L)","K. Gibson (R)","OFF DAY","C. Morton (R)"
game,"Sat 1:10pm @ DET","Sun 1:40pm @ DET","Mon 6:35pm vs NYY","Tue 6:35pm vs NYY","Wed 6:35pm vs NYY",,"Fri 7:05pm vs KC"
stats,"0-0 6.75 ERA","2-3 6.84 ERA","2-1 3.54 ERA","1-2 5.04 ERA","0-0 0.00 ERA",,"0-5 10.89 ERA"
oppBat,".246 1.0 HR 9.1 K",".246 1.0 HR 9.1 K",".259 1.6 HR 9.5 K",".259 1.6 HR 9.5 K",".259 1.6 HR 9.5 K",,".224 0.4 HR 7.4 K"
oppPitch,"C. Mize R","T. Skubal L","W. Warren R","C. Rodon L","C. Carrasco R",,"M. Wacha R"
BAL,"C. Morton (R)",---,---,---,---,---,---
game,"Sat 6:10pm @ DET",,,,,,
stats,"0-5 10.89 ERA",,,,,,
oppBat,".246 1.0 HR 9.1 K",,,,,,
oppPitch,"K. Montero R",,,,,,

BOS,"T. Houck (R)","B. Bello (R)","OFF DAY","G. Crochet (L)","L. Giolito (R)","T. Houck (R)","W. Buehler (R)"
game,"Sat 1:10pm @ CLE","Sun 1:40pm @ CLE",,"Tue 7:07pm @ TOR","Wed 7:07pm @ TOR","Thu 7:07pm @ TOR","Fri 7:10pm vs MIN"
stats,"0-2 7.66 ERA","1-0 1.80 ERA",,"2-2 1.95 ERA","0-0 0.00 ERA","0-2 7.66 ERA","3-1 4.23 ERA"
oppBat,".235 1.2 HR 7.8 K",".235 1.2 HR 7.8 K",,".242 0.5 HR 7.0 K",".242 0.5 HR 7.0 K",".242 0.5 HR 7.0 K",".219 0.8 HR 8.2 K"
oppPitch,"B. Lively R","L. Allen L",,"B. Francis R","J. Berrios R","P. Schultz R","J. Ryan R"
BOS,"W. Buehler (R)",---,---,---,---,---,---
game,"Sat 6:10pm @ CLE",,,,,,
stats,"3-1 4.23 ERA",,,,,,
oppBat,".235 1.2 HR 7.8 K",,,,,,
oppPitch,"D. Nikhazy L",,,,,,

CHC,"B. Brown (R)","J. Taillon (R)","OFF DAY","S. Imanaga (L)","M. Boyd (L)","C. Rea (R)","B. Brown (R)"
game,"Sat 4:05pm vs PHI","Sun 7:10pm vs PHI",,"Tue 6:40pm @ PIT","Wed 6:40pm @ PIT","Thu 12:35pm @ PIT","Fri 8:10pm @ MIL"
stats,"2-1 4.57 ERA","1-1 4.73 ERA",,"2-1 3.18 ERA","2-2 2.54 ERA","1-0 0.96 ERA","2-1 4.57 ERA"
oppBat,".248 0.8 HR 8.4 K",".248 0.8 HR 8.4 K",,".222 0.7 HR 8.8 K",".222 0.7 HR 8.8 K",".222 0.7 HR 8.8 K",".246 0.9 HR 7.9 K"
oppPitch,"J. Luzardo L","A. Nola R",,"A. Heaney L","C. Mlodzinski R","P. Skenes R","Q. Priester R"

CIN,"H. Greene (R)","N. Lodolo (L)","N. Martinez (R)","B. Singer (R)","A. Abbott (L)","H. Greene (R)","N. Lodolo (L)"
game,"Sat 3:10pm @ COL","Sun 3:10pm @ COL","Mon 6:40pm vs STL","Tue 6:40pm vs STL","Wed 6:40pm vs STL","Thu 12:40pm vs STL","Fri 6:10pm vs WSH"
stats,"2-2 2.35 ERA","2-2 2.79 ERA","0-3 5.40 ERA","4-0 3.62 ERA","2-0 3.60 ERA","2-2 2.35 ERA","2-2 2.79 ERA"
oppBat,".216 0.8 HR 10.6 K",".216 0.8 HR 10.6 K",".265 0.9 HR 7.9 K",".265 0.9 HR 7.9 K",".265 0.9 HR 7.9 K",".265 0.9 HR 7.9 K",".238 1.0 HR 7.3 K"
oppPitch,"A. Senzatela R","R. Feltner R","A. Pallante R","M. Mikolas R","S. Matz L","M. Liberatore L","M. Soroka R"

CLE,"B. Lively (R)","L. Allen (L)","G. Williams (R)","T. Bibee (R)","L. Ortiz (R)","B. Lively (R)","L. Allen (L)"
game,"Sat 1:10pm vs BOS","Sun 1:40pm vs BOS","Mon 6:10pm vs MIN","Tue 6:10pm vs MIN","Wed 6:10pm vs MIN","Thu 1:10pm vs MIN","Fri 7:07pm @ TOR"
stats,"1-2 3.86 ERA","1-1 2.11 ERA","2-1 4.15 ERA","2-2 5.19 ERA","2-3 5.96 ERA","1-2 3.86 ERA","1-1 2.11 ERA"
oppBat,".244 1.0 HR 9.5 K",".244 1.0 HR 9.5 K",".219 0.8 HR 8.2 K",".219 0.8 HR 8.2 K",".219 0.8 HR 8.2 K",".219 0.8 HR 8.2 K",".242 0.5 HR 7.0 K"
oppPitch,"T. Houck R","B. Bello R","B. Ober R","C. Paddack R","P. Lopez R","S. Woods Richardson R","K. Gausman R"
CLE,"D. Nikhazy (L)",---,---,---,---,---,---
game,"Sat 6:10pm vs BOS",,,,,,
stats,"0-0 0.00 ERA",,,,,,
oppBat,".244 1.0 HR 9.5 K",,,,,,
oppPitch,"W. Buehler R",,,,,,

COL,"A. Senzatela (R)","R. Feltner (R)","T. Gordon (R)","G. Marquez (R)","C. Dollander (R)","K. Freeland (L)","A. Senzatela (R)"
game,"Sat 3:10pm vs CIN","Sun 3:10pm vs CIN","Mon 8:40pm vs ATL","Tue 8:40pm vs ATL","Wed 3:10pm vs ATL","Thu 9:45pm @ SF","Fri 10:15pm @ SF"
stats,"1-3 4.81 ERA","0-1 3.86 ERA","0-0 0.00 ERA","0-4 9.30 ERA","1-3 7.91 ERA","0-4 5.93 ERA","1-3 4.81 ERA"
oppBat,".245 1.1 HR 8.8 K",".245 1.1 HR 8.8 K",".238 1.3 HR 9.0 K",".238 1.3 HR 9.0 K",".238 1.3 HR 9.0 K",".227 1.0 HR 8.9 K",".227 1.0 HR 8.9 K"
oppPitch,"H. Greene R","N. Lodolo L","A. Smith-Shawver R","B. Elder R","C. Sale L","J. Verlander R","R. Ray L"

CWS,"J. Cannon (R)","D. Martin (R)","OFF DAY","B. Wilson (R)","S. Smith (R)","S. Burke (R)","J. Cannon (R)"
game,"Sat 4:05pm @ ATH","Sun 4:05pm @ ATH",,"Tue 7:40pm vs MIL","Wed 7:40pm vs MIL","Thu 2:10pm vs MIL","Fri 7:40pm vs HOU"
stats,"0-3 4.81 ERA","1-3 3.95 ERA",,"0-0 4.30 ERA","1-1 2.30 ERA","1-4 6.00 ERA","0-3 4.81 ERA"
oppBat,".256 1.4 HR 7.3 K",".256 1.4 HR 7.3 K",,".246 0.9 HR 7.9 K",".246 0.9 HR 7.9 K",".246 0.9 HR 7.9 K",".232 0.8 HR 8.2 K"
oppPitch,"J. Springs L","O. Bido R",,"F. Peralta R","T. Myers R","C. Patrick R","F. Valdez L"

DET,"C. Mize (R)","T. Skubal (L)","J. Flaherty (R)","R. Olson (R)","J. Jobe (R)","C. Mize (R)","T. Skubal (L)"
