Game Date,Team,Pitcher Name,Throws,Record,ERA,Opp Batt Avg,Opp Pitcher
2025-04-26,ARI,M. Kelly,R,3-1,4.73,.238 1.3 HR 9.0 K,G. Holmes R
2025-04-27,ARI,B. Pfaadt,R,4-1,2.73,.238 1.3 HR 9.0 K,S. Schwellenbach R
2025-04-29,ARI,E. Rodriguez,L,1-2,4.40,.234 0.9 HR 7.5 K,D. Peterson L
2025-04-30,ARI,C. Burnes,R,0-1,4.05,.234 0.9 HR 7.5 K,K. Senga R
2025-05-01,ARI,Z. Gallen,R,1-4,5.57,.234 0.9 HR 7.5 K,C. Holmes R
2025-05-02,ARI,M. Kelly,R,3-1,4.73,.248 0.8 HR 8.4 K,J. Luzardo L
2025-04-26,ATH,J. Springs,L,3-2,5.64,.205 0.8 HR 8.7 K,J. Cannon R
2025-04-27,ATH,O. Bido,R,2-2,4.85,.205 0.8 HR 8.7 K,D. Martin R
2025-04-28,ATH,J. Sears,L,3-2,3.21,.222 1.2 HR 7.8 K,P. Corbin L
2025-04-29,ATH,H. Harris,L,0-0,0.00,.222 1.2 HR 7.8 K,J. deGrom R
2025-04-30,ATH,L. Severino,R,1-3,3.49,.222 1.2 HR 7.8 K,N. Eovaldi R
2025-05-01,ATH,J. Springs,L,3-2,5.64,.222 1.2 HR 7.8 K,T. Mahle R
2025-05-02,ATH,O. Bido,R,2-2,4.85,.260 0.8 HR 9.2 K,C. Gillispie R
2025-04-26,ATL,G. Holmes,R,2-1,3.22,.245 1.3 HR 7.4 K,M. Kelly R
2025-04-27,ATL,S. Schwellenbach,R,1-1,2.56,.245 1.3 HR 7.4 K,B. Pfaadt R
2025-04-28,ATL,A. Smith-Shawver,R,0-2,4.61,.216 0.8 HR 10.6 K,T. Gordon R
2025-04-29,ATL,B. Elder,R,0-1,5.57,.216 0.8 HR 10.6 K,G. Marquez R
2025-04-30,ATL,C. Sale,L,1-2,5.40,.216 0.8 HR 10.6 K,C. Dollander R
2025-05-02,ATL,G. Holmes,R,2-1,3.22,.230 1.6 HR 8.5 K,Y. Yamamoto R
2025-04-26,BAL,B. Young,R,0-0,6.75,.246 1.0 HR 9.1 K,C. Mize R
2025-04-27,BAL,D. Kremer,R,2-3,6.84,.246 1.0 HR 9.1 K,T. Skubal L
2025-04-28,BAL,T. Sugano,R,2-1,3.54,.259 1.6 HR 9.5 K,W. Warren R
2025-04-29,BAL,C. Povich,L,1-2,5.04,.259 1.6 HR 9.5 K,C. Rodon L
2025-04-30,BAL,K. Gibson,R,0-0,0.00,.259 1.6 HR 9.5 K,C. Carrasco R
2025-05-02,BAL,C. Morton,R,0-5,10.89,.224 0.4 HR 7.4 K,M. Wacha R
2025-04-26,BAL,C. Morton,R,0-5,10.89,.246 1.0 HR 9.1 K,K. Montero R
2025-04-26,BOS,T. Houck,R,0-2,7.66,.235 1.2 HR 7.8 K,B. Lively R
2025-04-27,BOS,B. Bello,R,1-0,1.80,.235 1.2 HR 7.8 K,L. Allen L
2025-04-29,BOS,G. Crochet,L,2-2,1.95,.242 0.5 HR 7.0 K,B. Francis R
