Team,Batting_NRFI_Games,Batting_Total_Games,Batting_NRFI_%,Pitching_NRFI_Games,Pitching_Total_Games,Pitching_NRFI_%
Arizona Diamondbacks,16,26,61.53846153846154,16,26,61.53846153846154
Athletics,19,26,73.07692307692307,17,26,65.38461538461539
Atlanta Braves,18,26,69.23076923076923,16,26,61.53846153846154
Baltimore Orioles,17,27,62.96296296296296,16,27,59.25925925925925
Boston Red Sox,20,30,66.66666666666666,18,30,60.0
Chicago Cubs,18,25,72.0,19,25,76.0
Chicago White Sox,17,26,65.38461538461539,16,26,61.53846153846154
Cincinnati Reds,18,26,69.23076923076923,20,26,76.92307692307693
Cleveland Guardians,18,26,69.23076923076923,17,26,65.38461538461539
Colorado Rockies,22,27,81.48148148148148,17,27,62.96296296296296
Detroit Tigers,18,27,66.66666666666666,21,27,77.77777777777779
Houston Astros,21,25,84.0,19,25,76.0
Kansas City Royals,20,28,71.42857142857143,26,28,92.85714285714286
Los Angeles Angels,18,26,69.23076923076923,15,26,57.692307692307686
Los Angeles Dodgers,16,24,66.66666666666666,15,24,62.5
Miami Marlins,19,26,73.07692307692307,19,26,73.07692307692307
Milwaukee Brewers,23,28,82.14285714285714,20,28,71.42857142857143
Minnesota Twins,19,27,70.37037037037037,16,27,59.25925925925925
New York Mets,19,26,73.07692307692307,23,26,88.46153846153845
New York Yankees,15,27,55.55555555555556,22,27,81.48148148148148
Philadelphia Phillies,17,26,65.38461538461539,20,26,76.92307692307693
Pittsburgh Pirates,20,27,74.07407407407408,23,27,85.18518518518519
San Diego Padres,16,26,61.53846153846154,19,26,73.07692307692307
San Francisco Giants,20,27,74.07407407407408,18,27,66.66666666666666
Seattle Mariners,16,26,61.53846153846154,17,26,65.38461538461539
St. Louis Cardinals,23,28,82.14285714285714,20,28,71.42857142857143
Tampa Bay Rays,20,26,76.92307692307693,17,26,65.38461538461539
Texas Rangers,19,26,73.07692307692307,20,26,76.92307692307693
Toronto Blue Jays,21,28,75.0,18,28,64.28571428571429
Washington Nationals,18,27,66.66666666666666,21,27,77.77777777777779
